part,layer,timestep,level,lambda,vs,mse,rmse,rel_rmse,cosine_global,cosine_row_mean,cosine_row_median,cosine_row_p05,cosine_row_min,max_abs_err,skip_rate,force_keep_count,dropped_mass_mean,dropped_mass_p95,dropped_mass_max
wan21_p1,layer_0,timestep_0,bf16_ref,,ground_truth,1.1219549378438387e-06,0.0010592237430514097,0.0024277386255562305,0.9999969005584717,0.9999976754188538,0.9999976754188538,0.9999958276748657,0.9999840259552002,0.03769111633300781,,,,,
wan21_p1,layer_0,timestep_0,fp8_qkv,,ground_truth,0.00217827083542943,0.046671949128244364,0.10697201639413834,0.9942830204963684,0.9977798461914062,0.9995599389076233,0.9902457594871521,0.7344340682029724,2.1184303760528564,,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p,,ground_truth,0.0022064063232392073,0.04697239958996354,0.10766064375638962,0.994208037853241,0.9977359175682068,0.999552845954895,0.9900654554367065,0.7367101311683655,2.123161554336548,,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.0,ground_truth,0.0022064063232392073,0.04697239958996354,0.10766064375638962,0.994208037853241,0.9977359175682068,0.999552845954895,0.9900654554367065,0.7367101311683655,2.123161554336548,0.0,0,0.0,0.0,0.0
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.0,no_skip_fp8,0.0,0.0,0.0,1.0000001192092896,1.0,1.0,0.9999998807907104,0.9999995827674866,0.0,0.0,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.001,ground_truth,0.0022082659415900707,0.046992190219121203,0.10770600289106369,0.9942076802253723,0.9977355599403381,0.9995531439781189,0.9900645017623901,0.7367202043533325,2.120476245880127,0.18093827160493828,0,0.0003118008316960186,0.0015888826455920935,0.027900144457817078
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.001,no_skip_fp8,2.565922159192269e-07,0.0005065493222966811,0.0011603711172938347,0.9999995231628418,0.9999998807907104,1.0,0.9999995827674866,0.9998953938484192,0.04773879051208496,0.18093827160493828,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.003,ground_truth,0.002214116742834449,0.04705440194959924,0.10784859210252762,0.9942036867141724,0.9977346658706665,0.9995533227920532,0.9900595545768738,0.7366842031478882,2.1176695823669434,0.22612577160493827,0,0.0009772332850843668,0.004818763583898544,0.04593678563833237
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.003,no_skip_fp8,2.3697828055446735e-06,0.001539409888738108,0.0035263823810964823,0.9999961853027344,0.9999991059303284,0.9999999403953552,0.9999955296516418,0.9996213316917419,0.09969854354858398,0.22612577160493827,,,,
wan21_p1,layer_0,timestep_0,fp8_static_p_skip,0.01,ground_truth,0.002245974959805608,0.04739171826179768,0.10862172394990921,0.9941679239273071,0.9977198839187622,0.9995439052581787,0.9900213479995728,0.7360483407974243,2.112243175506592,0.28673876886145405,0,0.003537504468113184,0.015536745078861713,0.08294714987277985
